T,D,L,count,quality,cost,model_name
T11,D3,L2,0.5,0.5,9.6525e-05,gpt-oss-120b
T11,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T11,D4,L1,2.0,1.97,0.0013713150000000001,gpt-oss-120b
T11,D4,L2,0.5,0.445,0.00058674,gpt-oss-120b
T11,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T11,D5,L1,2.833333333333333,2.5999999999999996,0.0010039150000000002,gpt-oss-120b
T11,D5,L2,0.5,0.5,9.6525e-05,gpt-oss-120b
T11,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T11,D6,L1,0.5,0.48,8.0355e-05,gpt-oss-120b
T11,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T11,D6,L3,0.5,0.465,0.00076131,gpt-oss-120b
T11,D7,L1,1.0,0.925,0.001365705,gpt-oss-120b
T11,D7,L2,2.5,2.2,0.0036200175000000003,gpt-oss-120b
T11,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T11,D8,L1,41.833333333333336,33.51,0.026399724999999992,gpt-oss-120b
T11,D8,L2,9.5,8.29,0.0086820525,gpt-oss-120b
T11,D8,L3,5.0,4.26,0.004654815,gpt-oss-120b
T11,D9,L1,1.8333333333333333,1.605,0.002151655,gpt-oss-120b
T11,D9,L2,0.0,0.0,0.0,gpt-oss-120b
T11,D9,L3,0.5,0.465,0.00076131,gpt-oss-120b
T11,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T11,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T11,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T12,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D2,L1,1.0,0.88,0.000816915,gpt-oss-120b
T12,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T12,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T12,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T12,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T12,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T12,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T12,D8,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D8,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D9,L1,1.0,0.92,0.000226545,gpt-oss-120b
T12,D9,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T12,D10,L1,2.0,1.66,0.00026334,gpt-oss-120b
T12,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T12,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D1,L1,0.0,0.0,0.0,sota-k
T1,D1,L2,0.0,0.0,0.0,sota-k
T1,D1,L3,0.0,0.0,0.0,sota-k
T1,D2,L1,0.0,0.0,0.0,sota-k
T1,D2,L2,0.0,0.0,0.0,sota-k
T1,D2,L3,0.0,0.0,0.0,sota-k
T1,D3,L1,0.0,0.0,0.0,sota-k
T1,D3,L2,0.0,0.0,0.0,sota-k
T1,D3,L3,0.0,0.0,0.0,sota-k
T1,D4,L1,0.0,0.0,0.0,sota-k
T1,D4,L2,0.0,0.0,0.0,sota-k
T1,D4,L3,0.0,0.0,0.0,sota-k
T1,D5,L1,0.0,0.0,0.0,sota-k
T1,D5,L2,0.0,0.0,0.0,sota-k
T1,D5,L3,0.0,0.0,0.0,sota-k
T1,D6,L1,0.0,0.0,0.0,sota-k
T1,D6,L2,0.0,0.0,0.0,sota-k
T1,D6,L3,0.0,0.0,0.0,sota-k
T1,D7,L1,0.0,0.0,0.0,sota-k
T1,D7,L2,0.0,0.0,0.0,sota-k
T1,D7,L3,0.0,0.0,0.0,sota-k
T1,D8,L1,0.0,0.0,0.0,sota-k
T1,D8,L2,1.0,0.87,0.0033439999999999998,sota-k
T1,D8,L3,0.0,0.0,0.0,sota-k
T1,D9,L1,0.0,0.0,0.0,sota-k
T1,D9,L2,0.5,0.46,0.001707,sota-k
T1,D9,L3,0.0,0.0,0.0,sota-k
T1,D10,L1,0.0,0.0,0.0,sota-k
T1,D10,L2,0.0,0.0,0.0,sota-k
T1,D10,L3,0.0,0.0,0.0,sota-k
T2,D1,L1,0.0,0.0,0.0,sota-k
T2,D1,L2,0.0,0.0,0.0,sota-k
T2,D1,L3,0.0,0.0,0.0,sota-k
T2,D2,L1,0.0,0.0,0.0,sota-k
T2,D2,L2,9.5,7.3950000000000005,0.022469500000000003,sota-k
T2,D2,L3,0.0,0.0,0.0,sota-k
T2,D3,L1,0.0,0.0,0.0,sota-k
T2,D3,L2,0.0,0.0,0.0,sota-k
T2,D3,L3,0.0,0.0,0.0,sota-k
T2,D4,L1,0.0,0.0,0.0,sota-k
T2,D4,L2,0.0,0.0,0.0,sota-k
T2,D4,L3,0.0,0.0,0.0,sota-k
T2,D5,L1,0.0,0.0,0.0,sota-k
T2,D5,L2,0.0,0.0,0.0,sota-k
T2,D5,L3,0.0,0.0,0.0,sota-k
T2,D6,L1,0.0,0.0,0.0,sota-k
T2,D6,L2,0.0,0.0,0.0,sota-k
T2,D6,L3,0.0,0.0,0.0,sota-k
T2,D7,L1,0.5,0.405,0.0006515,sota-k
T2,D7,L2,1.5,1.27,0.0041785,sota-k
T2,D7,L3,0.0,0.0,0.0,sota-k
T2,D8,L1,1.5,1.155,0.0032085000000000004,sota-k
T2,D8,L2,12.0,9.325000000000001,0.029807999999999998,sota-k
T2,D8,L3,0.0,0.0,0.0,sota-k
